H/h,S/h,GSI,mi,L2/L1,Collapse multiplier
1,0.5,50,20,1,13913.181
1,1,50,20,1,30114.383
1,2,50,20,1,33277.361
1,4,50,20,1,33125.131
1,6,50,20,1,33036.780
1,0.5,60,5,1,7797.711
1,1,60,5,1,15030.109
1,2,60,5,1,16949.240
1,4,60,5,1,16986.283
1,6,60,5,1,16983.890
1,0.5,60,20,1,20967.220
1,1,60,20,1,44768.378
1,2,60,20,1,49617.711
1,4,60,20,1,49824.299
1,6,60,20,1,49692.802
1,0.5,60,35,1,33970.884
1,1,60,35,1,73771.723
1,2,60,35,1,81776.827
1,4,60,35,1,82092.296
1,6,60,35,1,81383.497
1,0.5,70,20,1,30941.008
1,1,70,20,1,65652.984
1,2,70,20,1,73477.245
1,4,70,20,1,74006.220
1,6,70,20,1,73727.831
1,0.5,80,20,1,46513.898
1,1,80,20,1,97363.472
1,2,80,20,1,109362.538
1,4,80,20,1,109512.188
1,6,80,20,1,109430.443
2,0.5,50,20,1,33695.074
2,1,50,20,1,49393.515
2,2,50,20,1,82164.682
2,4,50,20,1,112571.971
2,6,50,20,1,112061.630
2,0.5,60,5,1,16622.731
2,1,60,5,1,23461.393
2,2,60,5,1,38505.580
2,4,60,5,1,49304.775
2,6,60,5,1,49102.796
2,0.5,60,20,1,50210.028
2,1,60,20,1,73288.770
2,2,60,20,1,120904.634
2,4,60,20,1,163818.946
2,6,60,20,1,164044.379
2,0.5,60,35,1,83924.874
2,1,60,35,1,122687.062
2,2,60,35,1,203768.724
2,4,60,35,1,276963.838
2,6,60,35,1,277427.508
2,0.5,70,20,1,73803.184
2,1,70,20,1,107310.700
2,2,70,20,1,176680.260
2,4,70,20,1,237781.184
2,6,70,20,1,239401.048
2,0.5,80,20,1,109550.459
2,1,80,20,1,158540.319
2,2,80,20,1,260009.928
2,4,80,20,1,349103.903
2,6,80,20,1,349922.696
3,0.5,50,20,1,69776.771
3,1,50,20,1,79188.071
3,2,50,20,1,106659.718
3,4,50,20,1,162703.600
3,6,50,20,1,194269.886
3,0.5,60,5,1,31144.358
